iter	Passed	Remaining
0	2	279
1	6	307
2	8	272
3	9	237
4	11	220
5	13	216
6	16	216
7	18	207
8	20	210
9	22	203
10	24	196
11	26	190
12	28	189
13	29	183
14	32	184
15	34	180
16	36	176
17	38	175
18	40	171
19	41	167
20	43	163
21	45	160
22	47	158
23	49	157
24	51	155
25	53	152
26	55	149
27	57	147
28	58	144
29	60	141
30	62	138
31	64	136
32	66	134
33	67	131
34	69	129
35	71	127
36	73	125
37	75	123
38	77	121
39	79	118
40	81	116
41	81	112
42	83	110
43	85	108
44	86	105
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	92
52	102	90
53	104	88
54	105	86
55	107	84
56	108	82
57	113	81
58	115	80
59	117	78
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	130	67
66	132	65
67	134	63
68	136	61
69	138	59
70	139	57
71	142	55
72	144	53
73	146	51
74	149	49
75	151	47
76	153	45
77	156	44
78	157	41
79	159	39
80	161	37
81	163	35
82	165	33
83	167	31
84	169	29
85	170	27
86	172	25
87	174	23
88	176	21
89	178	19
90	179	17
91	181	15
92	183	13
93	185	11
94	186	9
95	189	7
96	193	5
97	195	3
98	199	2
99	201	0
