iter	Passed	Remaining
0	160	160369
1	162	81051
2	163	54420
3	165	41137
4	167	33337
5	169	28036
6	170	24220
7	172	21346
8	173	19114
9	174	17316
10	176	15840
11	177	14621
12	178	13584
13	181	12794
14	183	12051
15	185	11382
16	186	10783
17	188	10281
18	189	9799
19	191	9372
20	192	8978
21	195	8684
22	197	8391
23	198	8092
24	200	7819
25	202	7571
26	203	7331
27	204	7110
28	206	6903
29	207	6710
30	211	6595
31	213	6449
32	214	6289
33	216	6138
34	217	5997
35	220	5892
36	221	5772
37	223	5660
38	226	5577
39	228	5483
40	230	5380
41	231	5276
42	232	5181
43	234	5090
44	235	5005
45	238	4950
46	240	4881
47	242	4800
48	243	4727
49	244	4652
50	246	4582
51	247	4513
52	249	4457
53	250	4393
54	252	4343
55	254	4294
56	256	4242
57	257	4187
58	259	4132
59	260	4079
60	261	4030
61	263	3983
62	264	3936
63	265	3889
64	268	3866
65	270	3830
66	272	3788
67	273	3746
68	274	3707
69	276	3669
70	277	3630
71	278	3594
72	280	3561
73	281	3526
74	284	3509
75	286	3480
76	287	3447
77	288	3415
78	290	3389
79	292	3358
80	293	3328
81	294	3301
82	295	3264
83	296	3237
84	299	3226
85	301	3203
86	302	3177
87	304	3150
88	305	3126
89	306	3101
90	308	3077
91	309	3056
92	312	3048
93	314	3028
94	315	3006
95	317	2989
96	319	2978
97	321	2957
98	322	2936
99	324	2922
100	326	2903
101	328	2893
102	330	2879
103	331	2859
104	333	2840
105	334	2821
106	335	2803
107	337	2786
108	339	2771
109	340	2754
110	342	2742
111	344	2735
112	346	2719
113	347	2703
114	349	2687
115	350	2671
116	351	2653
117	352	2637
118	354	2622
119	355	2607
120	358	2602
121	359	2586
122	361	2573
123	362	2562
124	365	2555
125	366	2542
126	367	2526
127	368	2513
128	370	2502
129	373	2500
130	376	2500
131	378	2488
132	379	2475
133	382	2470
134	384	2460
135	387	2458
136	389	2454
137	395	2470
138	397	2460
139	402	2474
140	405	2473
141	407	2460
142	413	2480
143	421	2503
144	423	2498
145	426	2492
146	427	2483
147	429	2474
148	433	2478
149	438	2485
150	440	2478
151	442	2470
152	450	2495
153	452	2487
154	455	2481
155	458	2478
156	460	2470
157	463	2468
158	465	2463
159	471	2475
160	473	2466
161	475	2459
162	477	2453
163	489	2494
164	492	2490
165	498	2502
166	501	2500
167	503	2492
168	505	2487
169	508	2481
170	515	2499
171	517	2491
172	520	2488
173	522	2482
174	535	2522
175	537	2516
176	544	2533
177	549	2538
178	562	2580
179	565	2576
180	567	2568
181	570	2566
182	579	2589
183	581	2580
184	585	2578
185	587	2569
186	595	2591
187	598	2586
188	600	2578
189	602	2570
190	607	2574
191	613	2583
192	615	2574
193	617	2564
194	625	2581
195	627	2573
196	628	2563
197	630	2553
198	633	2548
199	637	2548
200	638	2539
201	642	2536
202	644	2530
203	649	2535
204	652	2531
205	654	2521
206	657	2518
207	659	2510
208	660	2500
209	664	2497
210	666	2491
211	668	2484
212	670	2478
213	672	2469
214	674	2461
215	679	2464
216	681	2458
217	683	2452
218	687	2450
219	689	2443
220	694	2449
221	696	2441
222	698	2434
223	700	2426
224	702	2419
225	704	2411
226	705	2403
227	709	2400
228	712	2397
229	713	2390
230	716	2383
231	718	2377
232	720	2372
233	723	2366
234	727	2366
235	729	2360
236	731	2356
237	734	2350
238	735	2342
239	741	2348
240	744	2346
241	749	2347
242	751	2340
243	758	2348
244	760	2342
245	763	2340
246	765	2334
247	772	2342
248	775	2338
249	777	2331
250	779	2325
251	781	2318
252	788	2327
253	791	2323
254	793	2319
255	795	2311
256	798	2307
257	801	2305
258	803	2297
259	805	2291
260	809	2291
261	811	2285
262	816	2288
263	818	2283
264	820	2276
265	822	2268
